,group,chinese,english,math,nature,society,physics
0,literature,73.30254069532143,77.34686521662458,22.28373634637501,51.242499518163775,74.0528663474226,43.457760205787665
1,literature,89.47153337647251,75.99100740443494,9.522658839746189,33.553586391110954,80.91486950761754,37.192898161394815
2,literature,81.23162028735837,66.32581476614621,50.840711949294985,32.73956008959209,53.16278974806774,48.472994153170156
3,literature,55.31403185537903,51.935976145122495,21.926200325294662,35.22936137179272,46.013826968803876,39.65607357366067
4,literature,69.07481687965193,60.60334125056403,36.624411335419,33.63984884763735,58.09812616398295,53.38496103107859
5,literature,81.72265008120606,78.75276857945599,32.843428035115664,31.093896290275858,62.07746585279754,48.65962228356483
6,literature,86.35038571358606,79.77939051851733,35.06323195594825,55.57821366458635,66.15522894062137,61.88456860025632
7,literature,78.10121236561953,53.631940663113,24.47559298075476,32.280587129673215,57.18534444571119,39.54619336133644
8,literature,67.02691895943327,54.318660672748464,13.743394371284971,34.348641275016405,68.34166521089571,44.581695168903025
9,literature,80.3086419705751,55.688631093919845,28.65029664393062,52.44160510830358,64.69933924783513,40.95799400298707
10,literature,81.29278487972648,64.8494445008508,27.489926104334703,29.228148276822065,63.64624698872233,39.40001699706858
11,literature,78.76017319115661,61.03673795484762,35.755471793160325,30.9328579779627,61.13506345960006,63.992299363740926
12,literature,73.25529778952189,61.377694885004466,36.063893919735605,35.02597262515902,55.72774188195865,52.136652459367255
13,literature,87.26913377138317,77.1645800562696,33.10863962664144,39.58586165311142,59.2326530377485,59.12877262225633
14,literature,86.25438433959937,64.3107664981978,21.29213677791841,37.59226055193515,78.05314104846323,60.88769391951135
15,literature,89.64036125185531,75.42606368925568,15.79755085646827,34.99226347017924,69.30264178018231,54.84072473103818
16,literature,69.98215681652258,72.47302749544134,41.58787517479024,49.98056106315401,70.36111590246662,59.48865219321573
17,literature,76.90964809751166,65.33449651947114,33.191630481199226,51.397535945275635,72.22612187002771,47.470396498638685
18,literature,80.55787641092444,65.72228623783974,44.95217595388957,51.268847030055426,80.49797633581046,48.73234334757177
19,literature,71.19694135927129,61.65212473652797,40.45929379486704,37.512917230024385,55.868773915065795,54.12673456319151
20,literature,96.6782875366923,77.27998465161404,44.17780297277402,37.92921122172731,48.86858731164523,56.88143959791679
21,literature,74.49789048122074,68.99032394730517,28.765445437539984,35.29604963436108,83.80235735561885,55.321490852954184
22,literature,77.71430475368476,67.26103433493238,29.86754649065082,55.94398385011307,50.71058573693387,50.26210968557564
23,literature,86.95738367727934,62.13202439529023,57.88117021456109,37.11850691725485,44.24628085596218,57.057785180417085
